Date,Open,High,Low,Close,Adj Close,Volume
,PTPI,PTPI,PTPI,PTPI,PTPI,PTPI
2022-01-05,717.5,760.0,632.5,670.0,670.0,14942
2022-01-06,657.5,712.5,632.5,655.0,655.0,8658
2022-01-07,655.0,710.0,650.0,680.0,680.0,7940
2022-01-10,650.0,730.0,637.5,715.0,715.0,9872
2022-01-11,712.5,770.0,697.5,750.0,750.0,7712
2022-01-12,750.0,750.0,665.0,670.0,670.0,6078
2022-01-13,675.0,712.5,670.0,710.0,710.0,4015
2022-01-14,677.5,700.0,632.5,655.0,655.0,4626
2022-01-18,622.5,625.0,575.0,580.0,580.0,7006
2022-01-19,555.0,562.5,452.5,457.5,457.5,12836
2022-01-20,462.5,475.0,412.5,415.0,415.0,6271
2022-01-21,407.5,422.5,372.5,377.5,377.5,10391
2022-01-24,390.0,422.5,330.0,417.5,417.5,9596
2022-01-25,402.5,457.5,402.5,452.5,452.5,9043
2022-01-26,472.5,480.0,420.0,425.0,425.0,6100
2022-01-27,422.5,430.0,370.0,370.0,370.0,5074
2022-01-28,390.0,417.25,362.5,405.0,405.0,3690
2022-01-31,407.5,445.0,385.0,432.5,432.5,3721
2022-02-01,425.0,455.0,416.25,450.0,450.0,3038
2022-02-02,450.0,460.0,420.0,435.0,435.0,2279
2022-02-03,412.5,427.5,391.25,395.0,395.0,2699
2022-02-04,395.0,437.5,390.0,415.0,415.0,1966
2022-02-07,412.5,440.0,407.5,417.5,417.5,1663
2022-02-08,410.0,425.0,405.25,422.5,422.5,1514
2022-02-09,417.5,446.75,412.5,435.0,435.0,2472
2022-02-10,420.0,450.0,416.5,420.0,420.0,1509
2022-02-11,425.0,432.5,382.5,387.5,387.5,2964
2022-02-14,387.5,410.0,383.75,385.0,385.0,1994
2022-02-15,400.0,407.5,390.0,397.5,397.5,1460
2022-02-16,387.5,417.5,387.5,412.5,412.5,1438
2022-02-17,412.5,412.5,390.5,395.0,395.0,930
2022-02-18,390.0,395.0,362.5,380.0,380.0,2178
2022-02-22,357.5,373.5,350.0,352.5,352.5,1843
2022-02-23,357.5,370.0,312.5,312.5,312.5,2064
2022-02-24,287.5,355.0,287.5,347.5,347.5,3038
2022-02-25,342.5,372.5,337.5,357.5,357.5,1324
2022-02-28,350.0,365.0,340.0,345.0,345.0,1105
2022-03-01,340.0,357.5,325.0,330.0,330.0,1161
2022-03-02,330.0,347.5,325.0,340.0,340.0,948
2022-03-03,345.0,345.0,330.5,332.5,332.5,561
2022-03-04,325.0,337.25,300.0,300.0,300.0,1372
2022-03-07,295.0,315.0,290.0,292.5,292.5,2207
2022-03-08,275.0,300.0,272.5,290.0,290.0,1680
2022-03-09,297.5,322.5,297.5,317.5,317.5,956
2022-03-10,312.5,332.5,312.5,317.5,317.5,733
2022-03-11,317.5,322.25,287.5,287.5,287.5,657
2022-03-14,292.5,302.5,270.0,272.5,272.5,907
2022-03-15,272.5,282.5,262.5,270.0,270.0,2190
2022-03-16,280.0,283.0,262.5,267.5,267.5,1200
2022-03-17,270.0,294.75,267.75,282.5,282.5,2490
2022-03-18,287.5,312.5,282.5,292.5,292.5,1911
2022-03-21,295.0,317.5,295.0,312.5,312.5,2045
